Time (s),Temperature (°C),Frequency (Hz),Magnitude
0.0,23.2,0.2,1.0
1.0,23.22,0.2,1.0
2.0,23.22,0.2,1.0
3.0,23.2,0.2,1.0
4.0,23.2,0.2,1.0
5.01,23.2,0.2,1.0
6.01,23.2,0.2,1.0
7.01,23.2,0.2,1.0
8.01,23.22,0.2,1.0
9.01,23.2,0.2,1.0
10.01,23.2,0.2,1.0
11.01,23.2,0.2,1.0
12.01,23.2,0.2,1.0
13.02,23.22,0.2,1.0
14.02,23.22,0.2,1.0
15.02,23.22,0.2,1.0
16.02,23.22,0.2,1.0
17.02,23.2,0.2,1.0
18.02,23.2,0.2,1.0
19.02,23.2,0.2,1.0
20.02,23.2,0.2,1.0
21.02,23.22,0.2,1.0
22.03,23.2,0.2,1.0
23.03,23.2,0.2,1.0
24.03,23.2,0.2,1.0
25.03,23.22,0.2,1.0
26.03,23.22,0.2,1.0
27.03,23.22,0.2,1.0
28.03,23.2,0.2,1.0
29.03,23.2,0.2,1.0
30.04,23.22,0.2,1.0
31.04,23.2,0.2,1.0
32.04,23.2,0.2,1.0
33.04,23.22,0.2,1.0
34.04,23.2,0.2,1.0
35.04,23.2,0.2,1.0
36.04,23.22,0.2,1.0
37.04,23.22,0.2,1.0
38.05,23.2,0.2,1.0
39.05,23.2,0.2,1.0
40.05,23.2,0.2,1.0
41.05,23.2,0.2,1.0
42.05,23.2,0.2,1.0
43.05,23.2,0.2,1.0
44.05,23.22,0.2,1.0
45.05,23.2,0.2,1.0
46.06,23.22,0.2,1.0
47.06,23.2,0.2,1.0
48.06,23.2,0.2,1.0
49.06,23.2,0.2,1.0
50.06,23.2,0.2,1.0
51.06,23.22,0.2,1.0
52.06,23.2,0.2,1.0
53.06,23.2,0.2,1.0
54.07,23.22,0.2,1.0
55.07,23.2,0.2,1.0
56.07,23.2,0.2,1.0
57.07,23.2,0.2,1.0
58.07,23.2,0.2,1.0
59.07,23.2,0.2,1.0
60.07,23.2,0.2,1.0
61.08,23.2,0.2,1.0
62.08,23.2,0.2,1.0
63.08,23.22,0.2,1.0
64.08,23.2,0.2,1.0
65.08,23.2,0.2,1.0
66.08,23.2,0.2,1.0
67.08,23.2,0.2,1.0
68.08,23.2,0.2,1.0
69.08,23.2,0.2,1.0
70.09,23.2,0.2,1.0
71.09,23.22,0.2,1.0
72.09,23.22,0.2,1.0
73.09,23.2,0.2,1.0
74.09,23.2,0.2,1.0
75.09,23.2,0.2,1.0
76.09,23.2,0.2,1.0
77.09,23.2,0.2,1.0
78.1,23.2,0.2,1.0
79.1,23.22,0.2,1.0
80.1,23.2,0.2,1.0
81.1,23.22,0.2,1.0
82.1,23.22,0.2,1.0
83.1,23.2,0.2,1.0
84.1,23.22,0.2,1.0
85.1,23.2,0.2,1.0
86.11,23.2,0.2,1.0
87.11,23.2,0.2,1.0
88.11,23.2,0.2,1.0
89.11,23.2,0.2,1.0
90.11,23.2,0.2,1.0
91.11,23.2,0.2,1.0
92.11,23.2,0.2,1.0
93.11,23.2,0.2,1.0
94.11,23.2,0.2,1.0
95.12,23.2,0.2,1.0
96.12,23.2,0.2,1.0
97.12,23.2,0.2,1.0
98.12,23.2,0.2,1.0
99.12,23.2,0.2,1.0
100.12,23.2,0.2,1.0
101.13,23.22,0.2,1.0
102.13,23.2,0.2,1.0
103.13,23.2,0.2,1.0
104.13,23.2,0.2,1.0
105.13,23.2,0.2,1.0
106.13,23.2,0.2,1.0
107.13,23.2,0.2,1.0
108.13,23.2,0.2,1.0
109.13,23.2,0.2,1.0
110.14,23.2,0.2,1.0
111.14,23.2,0.2,1.0
112.14,23.2,0.2,1.0
113.14,23.2,0.2,1.0
114.14,23.2,0.2,1.0
115.14,23.2,0.2,1.0
116.14,23.2,0.2,1.0
117.14,23.2,0.2,1.0
118.15,23.2,0.2,1.0
119.15,23.2,0.2,1.0
120.15,23.2,0.2,1.0
121.15,23.2,0.2,1.0
122.15,23.2,0.2,1.0
123.15,23.2,0.2,1.0
124.15,23.2,0.2,1.0
125.15,23.2,0.2,1.0
126.15,23.2,0.2,1.0
127.16,23.2,0.2,1.0
128.16,23.2,0.2,1.0
129.16,23.2,0.2,1.0
130.16,23.2,0.2,1.0
131.16,23.2,0.2,1.0
132.16,23.2,0.2,1.0
133.16,23.2,0.2,1.0
134.17,23.2,0.2,1.0
135.17,23.17,0.2,1.0
136.17,23.2,0.2,1.0
137.17,23.17,0.2,1.0
138.17,23.2,0.2,1.0
139.17,23.2,0.2,1.0
140.17,23.17,0.2,1.0
141.17,23.2,0.2,1.0
142.18,23.2,0.2,1.0
143.18,23.2,0.2,1.0
144.18,23.17,0.2,1.0
145.18,23.2,0.2,1.0
146.18,23.17,0.2,1.0
147.18,23.2,0.2,1.0
148.18,23.2,0.2,1.0
149.18,23.2,0.2,1.0
150.18,23.2,0.2,1.0
151.19,23.2,0.2,1.0
152.19,23.2,0.2,1.0
153.19,23.2,0.2,1.0
154.19,23.2,0.2,1.0
155.19,23.2,0.2,1.0
156.19,23.2,0.2,1.0
157.2,23.2,0.2,1.0
158.2,23.2,0.2,1.0
159.2,23.17,0.2,1.0
160.2,23.2,0.2,1.0
161.2,23.17,0.2,1.0
162.2,23.2,0.2,1.0
163.2,23.2,0.2,1.0
164.2,23.2,0.2,1.0
165.2,23.2,0.2,1.0
166.21,23.17,0.2,1.0
167.21,23.2,0.2,1.0
168.21,23.17,0.2,1.0
169.21,23.17,0.2,1.0
170.21,23.17,0.2,1.0
171.21,23.2,0.2,1.0
172.21,23.2,0.2,1.0
173.21,23.17,0.2,1.0
174.22,23.2,0.2,1.0
175.22,23.17,0.2,1.0
176.22,23.2,0.2,1.0
177.22,23.17,0.2,1.0
178.22,23.2,0.2,1.0
179.22,23.2,0.2,1.0
0.0,23.17,0.2,1.0
